name,grupo,sub_grupo
19PES0178F,7,81
19PES0209I,7,81
19PES0230L,7,81
19PES0250Z,7,81
19PES0269X,7,81
19PES0261E,7,81
19PES0014W,7,82
19PES0054X,7,82
19PES0065C,7,82
19PES0073L,7,82
19PES0160G,7,82
19PES0163D,7,82
19PES0165B,7,82
19PES0179E,7,82
19PES0227Y,7,82
19PES0229W,7,82
19PES0283Q,7,82
19PES0300Q,7,82
19PES0298S,7,82
19PES0018S,7,83
19PES0064D,7,83
19PES0129X,7,83
19PES0019R,7,84
19PES0020G,7,84
19PES0101R,7,84
19PES0282R,7,84
19PES0036H,7,85
19PES0090B,7,85
19PES0100S,7,85
19PES0038F,7,86
19PES0117S,7,86
19PES0321C,7,86
19PES0042S,7,87
19PES0079F,7,87
19PES0044Q,7,88
19PES0078G,7,88
19PES0048M,7,89
19PES0056V,7,89
19PES0135H,7,89
19PES0060H,7,90
19PES0089M,7,90
19PES0106M,7,90
19PES0251Y,7,90
19PES0276G,7,90
19PES0062F,7,91
19PES0091A,7,91
19PES0323A,7,91
19PES0094Y,7,92
19PES0159R,7,92
19PES0294W,7,92
19PES0097V,7,93
19PES0267Z,7,93
19PES0299R,7,93
19PES0098U,7,94
19PES0258R,7,94
19PES0109J,7,95
19PES0302O,7,95
19PES0307J,7,95
19PES0314T,7,95
19PES0157T,7,96
19PES0177G,7,96
19PES0158S,7,97
19PES0162E,7,97
19PES0284P,7,97
19PES0254V,7,98
19PES0262D,7,98
19PES0297T,7,98
19PES0303N,7,98
19PES0290Z,7,99
19PES0319O,7,99
